order_id,user_id,product_id,amount,timestamp
ORD-001,U-101,P-100,299.99,2026-05-01T10:00:00Z
ORD-002,U-102,P-200,149.99,2026-05-01T10:05:00Z
ORD-003,U-101,P-300,499.99,2026-05-01T10:10:00Z
ORD-004,U-103,P-400,99.99,2026-05-01T10:15:00Z
ORD-005,U-102,P-500,199.99,2026-05-01T10:20:00Z
ORD-006,U-104,P-150,249.99,2026-05-01T10:25:00Z
ORD-007,U-105,P-250,349.99,2026-05-01T10:30:00Z
ORD-008,U-101,P-350,89.99,2026-05-01T10:35:00Z
ORD-009,U-106,P-450,129.99,2026-05-01T10:40:00Z
ORD-010,U-103,P-550,599.99,2026-05-01T10:45:00Z
ORD-011,U-102,P-120,159.99,2026-05-01T10:50:00Z
ORD-012,U-107,P-220,279.99,2026-05-01T10:55:00Z
ORD-013,U-108,P-320,459.99,2026-05-01T11:00:00Z
ORD-014,U-104,P-420,189.99,2026-05-01T11:05:00Z
ORD-015,U-105,P-520,399.99,2026-05-01T11:10:00Z
ORD-016,U-101,P-130,229.99,2026-05-01T11:15:00Z
ORD-017,U-106,P-230,319.99,2026-05-01T11:20:00Z
ORD-018,U-107,P-330,99.99,2026-05-01T11:25:00Z
ORD-019,U-103,P-430,549.99,2026-05-01T11:30:00Z
ORD-020,U-102,P-530,179.99,2026-05-01T11:35:00Z
