ride_id,driver_id,rider_id,status,lat,lon,timestamp
R001,D101,U501,REQUESTED,9.9312,76.2673,2026-06-01T10:00:00Z
R002,D102,U502,COMPLETED,9.9315,76.2680,2026-06-01T10:05:00Z
R003,D101,U503,COMPLETED,9.9320,76.2685,2026-06-01T10:10:00Z
R004,D103,U504,CANCELLED,9.9330,76.2690,2026-06-01T10:15:00Z
R005,D102,U505,COMPLETED,9.9340,76.2700,2026-06-01T10:20:00Z
R006,D104,U506,ACCEPTED,9.9350,76.2710,2026-06-01T10:25:00Z
R007,D101,U507,COMPLETED,9.9360,76.2720,2026-06-01T10:30:00Z
R008,D105,U508,REQUESTED,9.9370,76.2730,2026-06-01T10:35:00Z
R009,D104,U509,COMPLETED,9.9380,76.2740,2026-06-01T10:40:00Z
R010,D102,U510,COMPLETED,9.9390,76.2750,2026-06-01T10:45:00Z
